node_index,aabb_min_x,aabb_min_y,aabb_min_z,aabb_max_x,aabb_max_y,aabb_max_z,n_subtree_primitives,n_leaf_primitives,node_type,valid,surface_area,center_of_mass_x,center_of_mass_y,center_of_mass_z,importance,importance_gt
0,-1.04822,-1.05912,-0.0489899,1.05334,1.02441,3.04044,3600,0,interior,1,6.12,0.0348594,0.0718467,1.49683,0,0
1,-1.04401,-1.03445,-0.0489899,1.05334,1.01452,1.5612,1800,0,interior,1,3.06,0.0214944,0.105596,0.743385,0,0
2,-1.04401,-1.03445,-0.0489899,0.0621551,1.01452,1.5612,900,0,interior,1,1.53495,-0.494979,0.161272,0.772727,0,0
3,-1.04401,-1.03445,-0.0489899,0.0438046,0.289103,1.51736,450,0,interior,1,0.7551,-0.551123,-0.346932,0.824147,0,0
4,-1.04401,-0.911678,-0.0489899,0.0438046,0.289103,0.930168,225,0,interior,1,0.3825,-0.534747,-0.255494,0.476733,0,0
5,-1.03329,-0.911678,-0.0489899,0.0125962,-0.174037,0.894722,112,0,interior,1,0.1838,-0.48809,-0.54598,0.416806,0,0
6,-1.03329,-0.911678,-0.0489899,-0.443174,-0.174037,0.523437,56,0,interior,1,0.0919001,-0.760234,-0.539581,0.290986,0,0
7,-1.02357,-0.911678,0.0117909,-0.443174,-0.680408,0.523437,28,0,interior,1,0.0509,-0.718108,-0.77454,0.354796,0,0
8,-1.02357,-0.835312,0.347753,-0.601963,-0.717697,0.523437,14,0,interior,1,0.0205,-0.970167,-0.776434,0.4831,0,0
9,-1.02357,-0.835312,0.44381,-0.920196,-0.717697,0.523437,7,0,interior,1,0.0152,-0.977736,-0.773146,0.478931,0,0
10,-1.02357,-0.835312,0.44381,-0.920196,-0.74797,0.522824,3,3,leaf,1,0.0051,-0.972706,-0.795764,0.469638,0,0
11,-1.02357,-0.835312,0.44381,-0.920196,-0.717697,0.523437,4,4,leaf,1,0.0101,-0.980276,-0.761725,0.483623,0,0
12,-0.974178,-0.835312,0.347753,-0.601963,-0.717697,0.523437,7,0,interior,1,0.00530001,-0.948459,-0.785861,0.495056,0,0
13,-0.974178,-0.835312,0.44381,-0.920196,-0.718087,0.523437,3,3,leaf,1,0.0051,-0.954956,-0.78681,0.496835,0,0
14,-0.970272,-0.805039,0.347753,-0.601963,-0.717697,0.523437,4,4,leaf,1,0.000200006,-0.782807,-0.761679,0.449711,0,0
15,-0.638805,-0.911678,0.0117909,-0.443174,-0.680408,0.404835,14,0,interior,1,0.0304,-0.548133,-0.773263,0.268276,0,0
16,-0.638556,-0.911678,0.0117909,-0.443174,-0.680912,0.404008,7,0,interior,1,0.0152,-0.528015,-0.805013,0.156853,0,0
17,-0.532994,-0.890228,0.0117909,-0.443174,-0.797689,0.0955576,3,3,leaf,1,0.0051,-0.486418,-0.835364,0.0398057,0,0
18,-0.638556,-0.911678,0.0123455,-0.481083,-0.680912,0.404008,4,4,leaf,1,0.0101,-0.549019,-0.789687,0.215956,0,0
19,-0.638805,-0.79931,0.347753,-0.512291,-0.680408,0.404835,7,0,interior,1,0.0152,-0.568251,-0.741512,0.379699,0,0
20,-0.638805,-0.79931,0.34858,-0.512291,-0.724668,0.404835,3,3,leaf,1,0.00510001,-0.583984,-0.759685,0.386443,0,0
21,-0.638805,-0.79931,0.347753,-0.512291,-0.680408,0.404835,4,4,leaf,1,0.0101,-0.560307,-0.732336,0.376294,0,0
22,-1.03329,-0.725172,-0.0489899,-0.548884,-0.174037,0.34858,28,0,interior,1,0.041,-0.812532,-0.247889,0.211768,0,0
23,-1.03329,-0.725172,0.142544,-0.548884,-0.235049,0.34858,14,0,interior,1,0.0205,-0.976381,-0.272101,0.236408,0,0
24,-1.03329,-0.725172,0.194502,-0.548884,-0.247451,0.34858,7,0,interior,1,0.00530001,-0.988212,-0.289175,0.251978,0,0
25,-1.03329,-0.304767,0.194502,-0.926997,-0.247451,0.277278,3,3,leaf,1,0.0051,-0.996174,-0.280888,0.249602,0,0
