px,py,pz,nx,ny,nz
-0.808933,0.292974,2.18687,-0.617271,0.413181,0.66952
-0.520489,0.546538,1.94064,0.492569,0.870274,0
0.907006,0.756866,2.83851,-0.468384,0.129388,-0.874
0.358146,-0.490923,2.79396,0.801723,0.597695,0
-0.154184,0.670973,1.9273,-0.184077,0.231735,0.955204
-0.594474,0.518543,0.0753807,-0.0438752,0.684003,0.728159
0.655241,0.53379,0.742174,0.724748,0.295402,0.622477
-0.761779,0.281339,0.81347,-0.21295,0.977063,0
0.348379,-0.48175,2.79871,-0.219293,0.29415,-0.930262
0.857184,0.934612,0.0705244,-0.169157,0.982333,0.0800459
0.550077,-0.35209,2.60539,-0.535361,0.764326,0.359436
0.389803,-0.118317,2.45279,-0.217829,0.0930292,0.971543
0.662329,0.00679066,0.692134,0.367546,0.930005,0
0.676404,-0.350176,1.55586,-0.588872,0.808227,0
-0.197532,0.444248,2.14372,-0.712506,0.606734,-0.352433
-1.01452,-0.254943,0.209166,-0.101957,0.815718,0.569394
0.869318,-0.216533,0.504517,0.0322784,0.810042,-0.585483
0.550245,-0.352243,2.60597,-0.535361,0.764326,0.359436
-0.104235,-0.861657,2.44463,-0.311026,0.950401,0
-0.818891,0.299634,2.17358,-0.617271,0.413181,0.66952
-0.490313,-0.801792,0.0274976,0.767364,0.321836,0.554594
-0.060427,0.0612561,2.37246,0.395596,0.918425,0
-0.200296,1.0108,1.21273,-0.0301159,0.735946,-0.67637
0.90222,-0.153345,1.15636,0.97494,0.222467,0
-0.818227,-0.368863,2.77199,-0.0313181,0.537847,-0.842461
0.721854,-0.23323,0.950417,0.668091,0.530717,-0.52153
0.0540983,-0.0286357,0.826077,0.60888,0.390253,-0.690629
0.235869,-0.250129,2.98311,-0.348242,0.302364,-0.887301
0.35778,0.226709,2.18879,-0.916192,0.400739,0
0.662218,0.00683451,0.691268,0.367546,0.930005,0
-0.384653,-0.486716,1.94402,0.197964,0.980209,0
-0.252713,-0.409813,0.803943,-0.116041,0.95811,0.261841
0.574272,-0.578812,0.127658,0.727933,0.130752,-0.673065
0.483314,-0.0157559,2.10882,-0.26021,0.531168,0.80632
-0.809923,0.703647,2.40836,-0.206826,0.267581,0.941076
0.057144,-0.561815,2.3266,0.819702,0.214654,-0.531048
-0.295789,0.399263,0.654908,-0.999268,0.0382535,0
0.0362339,0.718138,1.44226,0.765974,0.631891,0.118312
-0.369308,-0.250877,1.48766,0.326329,0.60577,0.725639
0.668972,0.769859,0.178823,-0.18737,0.23313,-0.954224
-0.461897,0.78503,0.79534,-0.488419,0.80435,-0.338332
0.946218,-0.0666149,2.30541,0.943008,0.332771,0
-0.306289,0.260832,2.0488,0.0688033,0.798533,0.598006
0.239752,0.323552,2.02265,-0.110248,0.979492,0.168643
0.122922,0.341428,0.580457,-0.244082,0.969755,0
-0.00302318,0.668811,1.85383,0.8834,0.468619,0
-0.180783,0.69083,1.35287,-0.686258,0.372109,0.624967
0.379867,-0.271654,1.01714,-0.102798,0.99413,0.033727
0.179737,-0.410104,2.06221,0.389821,0.000543013,0.92089
0.560331,-0.822602,1.13456,0.83727,0.546789,0
-0.191161,0.20548,0.360119,-0.860306,0.509778,0
-0.251028,-0.42331,0.854079,-0.116041,0.95811,0.261841
0.817474,0.744516,1.64165,0.10374,0.588235,0.802009
-0.595736,0.848337,0.485206,0.100368,0.0865104,-0.991182
0.767678,0.661426,0.551905,-0.652428,0.757851,0
-0.81902,0.298248,2.77699,-0.627695,0.77846,0
0.587531,-0.0429119,2.91625,-0.0483797,0.0533021,-0.997406
0.562893,-0.0235798,2.13961,0.898032,0.43993,0
0.539551,-0.113377,1.73547,0.554874,0.412779,0.722308
-0.590782,0.406254,2.0711,-0.851415,0.524492,0
0.00462919,0.654386,1.81732,0.8834,0.468619,0
