node_index,level,aabb_min_x,aabb_min_y,aabb_min_z,aabb_max_x,aabb_max_y,aabb_max_z,n_subtree_primitives,n_leaf_primitives,node_type,valid,surface_area,center_of_mass_x,center_of_mass_y,center_of_mass_z,gaussian_mu_x,gaussian_mu_y,gaussian_mu_z,gaussian_cov_xx,gaussian_cov_xy,gaussian_cov_xz,gaussian_cov_yy,gaussian_cov_yz,gaussian_cov_zz,vmf_mean_x,vmf_mean_y,vmf_mean_z,vmf_kappa,importance_gt_vis,importance_gt_novis,importance_ours
0,10,-1.02103,-1.0424,-0.0490978,1.04934,1.04175,3.03624,1800,0,interior,1,3.06,0.0874507,0.0838404,1.54084,0.0874507,0.0838404,1.54084,0.345589,-0.0292595,0.00717688,0.302052,-0.0191416,0.850414,0.780869,0,0.624695,2.19242e-09,0.0110262,0.0151652,-1
1,9,-1.00548,-1.0424,-0.0490978,1.04934,0.985646,1.67783,900,0,interior,1,1.53,0.0888013,0.068057,0.735461,0.0888013,0.068057,0.735461,0.338766,-0.00855143,0.00946157,0.296508,-0.0401942,0.241611,-0.109206,-0.179564,-0.977666,0.0011129,0,0.000753985,-1
2,8,-1.00548,-1.0424,-0.0490978,0.234014,0.965214,1.67783,450,0,interior,1,0.765,-0.411394,0.0709848,0.744385,-0.411394,0.0709848,0.744385,0.123702,-0.0203065,0.0223204,0.32119,-0.028164,0.289793,0.334364,0.624923,-0.705459,0.0267953,0,0.000423514,-1
3,7,-1.00548,-1.0424,-0.0490978,0.234014,-0.0199273,1.65586,225,0,interior,1,0.3924,-0.375146,-0.409207,0.775765,-0.375146,-0.409207,0.775765,0.147614,-0.02466,0.02662,0.0837039,-0.0163357,0.302078,-0.291658,0.923961,-0.247451,0.038197,0,0.000326619,-1
4,6,-1.00548,-0.906006,-0.0490978,0.180127,-0.0199273,0.871133,112,0,interior,1,0.1937,-0.352173,-0.362418,0.271435,-0.352173,-0.362418,0.271435,0.132773,-0.0114225,0.0559621,0.0551628,-0.00216908,0.0639492,0.215566,-0.0202028,-0.97628,0.155162,0,3.3803e-05,-1
5,5,-1.00548,-0.906006,-0.0490978,-0.34542,-0.0934898,0.285893,56,0,interior,1,0.09685,-0.672412,-0.34812,0.113747,-0.672412,-0.34812,0.113747,0.0410711,-0.0196143,-0.00863142,0.0704031,0.00547552,0.00853815,-0.606565,0.24458,0.756479,0.155193,0,1.33772e-07,-1
6,4,-1.00548,-0.906006,0.004928,-0.467382,-0.193598,0.285893,28,0,interior,1,0.04595,-0.724946,-0.526593,0.150453,-0.724946,-0.526593,0.150453,0.0545229,-0.0615033,-0.019399,0.0867012,0.025226,0.00836733,-0.117851,0.334277,0.935078,0.328001,0,1.16139e-07,-1
7,3,-0.956582,-0.906006,0.004928,-0.467382,-0.312993,0.285893,14,0,interior,1,0.0205,-0.489983,-0.852043,0.0545632,-0.489983,-0.852043,0.0545632,0.00113137,-0.00109717,-0.000225455,0.00224465,0.000446688,0.000965087,0.489016,-0.872275,0,0.014635,0,9.63211e-08,-1
8,2,-0.508018,-0.906006,0.004928,-0.467382,-0.803524,0.102421,7,0,interior,1,0.0152,-0.487184,-0.860666,0.0592882,-0.487184,-0.860666,0.0592882,6.7696e-05,0.000137717,0.00018274,0.000785172,1.38953e-06,0.000768402,0.959697,-0.183401,-0.212947,1.06717,0,1.15251e-07,-1
9,1,-0.508018,-0.906006,0.004928,-0.467382,-0.807257,0.102421,3,0,interior,1,0.000149998,-0.488481,-0.882726,0.069872,-0.488481,-0.882726,0.069872,0.000149563,0.000347644,0.000369962,0.00108427,0.000667535,0.00105021,-0.0473612,-0.8992,0.434967,4.09941,0,5.73843e-08,-1
10,0,-0.508018,-0.905843,0.004928,-0.485098,-0.901947,0.102421,1,1,leaf,1,4.99976e-05,-0.500058,-0.9033,0.037503,-0.500058,-0.9033,0.037503,2.80142e-05,-4.76837e-06,0.000121385,7.15256e-07,-2.06307e-05,0.000526788,-0.167559,-0.985862,-2.4171e-06,986895,0,0,-1
11,0,-0.507059,-0.906006,0.004928,-0.467382,-0.807257,0.102421,2,2,leaf,1,0.000100001,-0.482693,-0.87244,0.0860555,-0.482693,-0.87244,0.0860555,0.000109866,0.00034523,0.000213206,0.0013085,0.000512175,0.00052616,0.0435924,-0.724658,0.687728,3.53554,0,5.85075e-08,-1
12,1,-0.508018,-0.906006,0.004928,-0.467382,-0.803524,0.102421,4,0,interior,1,0.01505,-0.487171,-0.860446,0.0591827,-0.487171,-0.860446,0.0591827,6.68466e-05,0.000135362,0.000181012,0.000777364,-2.89828e-06,0.000764466,0.961092,-0.16336,-0.222747,1.07918,0,5.62308e-08,-1
13,0,-0.507059,-0.906006,0.004928,-0.467382,-0.803524,0.102188,2,2,leaf,1,0.01,-0.487221,-0.854765,0.053558,-0.487221,-0.854765,0.053558,6.71446e-05,0.000130296,0.000185765,0.000811338,-3.15718e-05,0.000788293,0.958848,-0.162979,-0.232484,986895,0,0,-1
14,0,-0.508018,-0.906006,0.00516048,-0.468341,-0.807257,0.102421,2,2,leaf,1,0.00505,-0.487073,-0.871696,0.0703207,-0.487073,-0.871695,0.0703207,6.62208e-05,0.000147045,0.00016997,0.000519812,0.000242449,0.00053058,-0.956508,0.162581,0.242197,101.995,0,6.54715e-08,-1
15,2,-0.956582,-0.90211,0.004928,-0.467382,-0.312993,0.285893,7,0,interior,1,0.0053,-0.498009,-0.827315,0.0410121,-0.498009,-0.827315,0.0410121,0.00409493,-0.00437129,-0.0015428,0.00560582,0.0021757,0.0012815,-0.961904,0.168056,0.215633,15.1236,0,0,-1
16,1,-0.508018,-0.90211,0.004928,-0.468341,-0.803361,0.102421,3,0,interior,1,0.0051,-0.489402,-0.83782,0.0369425,-0.489402,-0.83782,0.0369425,6.71744e-05,0.000150383,0.000172023,0.000529587,0.000250002,0.000535574,-0.963239,0.163725,0.212989,51.9924,0,0,-1
17,0,-0.507059,-0.90211,0.004928,-0.490302,-0.803361,0.00516048,1,1,leaf,1,5.00004e-05,-0.496207,-0.836332,0.00500549,-0.496207,-0.836332,0.00500549,1.47521e-05,8.91685e-05,9.63919e-08,0.000540793,6.38887e-07,2.99951e-09,-0.229194,0.0389569,-0.972601,986895,0,0,-1
18,0,-0.508018,-0.90211,0.004928,-0.468341,-0.803361,0.102421,2,2,leaf,1,0.00505,-0.489334,-0.837835,0.0372588,-0.489334,-0.837835,0.0372588,6.72191e-05,0.000151098,0.000171551,0.000529468,0.000252949,0.000530678,-0.961092,0.16336,0.222747,102.001,0,0,-1
19,1,-0.956582,-0.80742,0.004928,-0.467382,-0.312993,0.285893,4,0,interior,1,0.000200005,-0.717484,-0.559452,0.144784,-0.717484,-0.559452,0.144784,0.0567418,-0.0585752,-0.0216011,0.0604845,0.0223932,0.00911141,0.985371,0.170425,7.39986e-06,1.08266,0,0,-1
20,0,-0.491261,-0.80742,0.004928,-0.467382,-0.803361,0.102421,2,2,leaf,1,0.000100001,-0.479321,-0.80539,0.0536743,-0.479322,-0.80539,0.0536743,4.38094e-05,-7.51019e-06,0.000185745,1.2517e-06,-3.15681e-05,0.000788298,0.16755,0.985864,4.71001e-06,986895,0,0,-1
21,0,-0.956582,-0.314049,0.185888,-0.954697,-0.312993,0.285893,2,2,leaf,1,0.000100004,-0.95564,-0.313521,0.23589,-0.95564,-0.313521,0.23589,1.19209e-07,8.9407e-08,8.43406e-06,5.21541e-08,4.72367e-06,0.000833225,0.48901,-0.872278,2.20686e-07,986895,0,0,-1
22,3,-1.00548,-0.314049,0.169168,-0.584405,-0.193598,0.285893,14,0,interior,1,0.02545,-0.914209,-0.264443,0.227692,-0.914209,-0.264443,0.227692,0.0172393,0.00105056,-0.00207643,0.000691213,-0.000200018,0.000957552,-0.126752,0.349269,0.92841,0.607734,0,0,-1
23,2,-1.00548,-0.314049,0.185888,-0.954697,-0.225766,0.285893,7,0,interior,1,0.02015,-0.980154,-0.269801,0.235683,-0.980154,-0.269801,0.235683,0.00020051,-0.000357062,7.48038e-06,0.000637278,6.59376e-06,0.000841457,-0.227767,0.385072,-0.894339,0.0166463,0,0,-1
24,1,-1.00548,-0.314049,0.185888,-0.954697,-0.226333,0.285881,3,0,interior,1,0.0051,-0.971848,-0.284019,0.218565,-0.971848,-0.284019,0.218565,0.000138402,-0.000243336,0.000144422,0.000427991,-0.000243474,0.000565931,0.871834,0.488782,-0.0315936,51.992,0,0,-1
25,0,-1.00548,-0.31356,0.185888,-0.955709,-0.226333,0.185899,1,1,leaf,1,4.99968e-05,-0.988602,-0.255572,0.185892,-0.988602,-0.255572,0.185892,0.000135362,-0.000238359,-2.98023e-08,0.000420339,2.23517e-08,3.72529e-09,-0.010113,-0.00566969,-0.999933,986895,0,0,-1
26,0,-1.00548,-0.314049,0.185888,-0.954697,-0.226333,0.285881,2,2,leaf,1,0.00505,-0.971682,-0.284301,0.218889,-0.971682,-0.284301,0.218889,0.000135779,-0.000238627,0.000140369,0.000419974,-0.000236593,0.000560865,0.872066,0.488912,-0.0216002,101.992,0,0,-1
27,1,-1.00548,-0.314049,0.185888,-0.954697,-0.225766,0.285893,4,0,interior,1,0.01505,-0.982969,-0.264983,0.241484,-0.982969,-0.264983,0.241484,0.000190377,-0.000342011,2.56002e-05,0.000616461,-1.90735e-05,0.000801858,-0.877058,-0.480245,0.011601,1.07918,0,0,-1
28,0,-1.00548,-0.314049,0.185899,-0.95557,-0.226255,0.285893,2,2,leaf,1,0.01,-0.980527,-0.270152,0.235896,-0.980527,-0.270152,0.235896,0.000199437,-0.000355363,8.41916e-06,0.000634074,4.72367e-06,0.000833217,-0.872211,-0.488992,0.0116016,986895,0,0,-1
29,0,-1.00548,-0.312993,0.185888,-0.954697,-0.225766,0.285893,2,2,leaf,1,0.00505,-0.987804,-0.254746,0.25255,-0.987804,-0.254746,0.25255,0.000136793,-0.000241071,0.000140205,0.000423916,-0.000236705,0.000555463,0.867277,0.49769,-0.011601,101.999,0,0,-1
30,2,-1.00447,-0.313482,0.169168,-0.584405,-0.193598,0.285893,7,0,interior,1,0.0053,-0.663493,-0.244072,0.197309,-0.663493,-0.244072,0.197309,0.00262713,-4.83245e-05,-0.000378132,0.000372212,-0.00020384,0.000232998,-0.119882,0.335662,0.934323,26.3515,0,0,-1
31,1,-1.00447,-0.313482,0.169168,-0.680378,-0.193598,0.285893,3,0,interior,1,0.000149999,-0.885682,-0.254171,0.25142,-0.885682,-0.254171,0.25142,0.0177806,0.00262235,-0.00645411,0.00104523,-0.00112847,0.00240342,-0.42158,-0.122747,0.898445,4.04329,0,0,-1
32,0,-1.00447,-0.312993,0.285881,-0.954697,-0.225766,0.285893,1,1,leaf,1,4.99968e-05,-0.98759,-0.255005,0.285885,-0.98759,-0.255005,0.285885,0.000135303,-0.000238389,-2.98023e-08,0.000420339,2.23517e-08,7.45058e-09,0.0101389,0.00568427,0.999932,986895,0,0,-1
