px,py,pz,nx,ny,nz,weight
0.286744,0.813811,0.193784,-0.433121,0.780493,-0.450817,0.00182244
-0.656766,0.735883,1.60008,0.90785,0.382156,-0.172528,0.00092032
0.0725262,-0.51509,2.33433,-0.799112,0.391115,0.456562,0.00147186
0.451163,0.617647,2.42651,0.41286,0.910795,0,1.27925e-06
-0.586954,0.492663,1.91542,-0.985423,0.170125,0,1.29811e-05
0.688755,-0.487894,0.417765,0.269083,0.205678,-0.940899,0.0030376
0.277202,0.834802,0.240452,-0.218748,0.394189,0.892616,1.61472e-05
0.200682,-0.60309,2.97106,0.0955267,0.447504,0.889165,8.23428e-06
-0.13807,0.670971,1.89803,0.67144,0.741059,0,6.78936e-06
-0.195429,0.860679,1.7255,-0.279419,0.488319,0.826722,1.48858e-05
-0.744191,-0.0668923,1.17553,0.786652,0.617396,0,1.29327e-05
0.91807,0.70369,2.30227,-0.502213,0.864744,0,1.21163e-05
-0.607876,0.929579,2.00112,-0.269768,0.600695,-0.75259,3.6897e-05
0.82749,0.648512,0.487295,0.0374134,0.0591811,-0.997546,1.26749e-05
0.459284,-0.830441,1.13544,0.0734488,0.0370821,-0.996609,1.87676e-05
0.76634,-0.035125,2.72494,0.271115,0.340603,0.90027,0.00123327
-0.170343,0.867424,0.144039,0.436977,0.899473,0,2.96461e-06
0.00965274,0.998655,2.2917,0.700941,0.0533992,-0.711218,1.53337e-05
0.0592725,0.732646,1.49573,-0.535854,0.444062,0.718101,1.6382e-05
0.726565,-0.458927,0.43491,0.269083,0.205678,-0.940899,0.00323572
-0.325676,0.171792,1.00364,-0.75542,0.65524,0,1.75028e-05
-0.704298,0.200218,2.86891,-0.528028,0.849227,0,4.84048e-06
0.230309,-0.17498,2.99961,0.503483,0.848696,0.161926,2.82573e-06
-0.917355,0.464576,1.86633,0.932423,0.357558,-0.0523361,0.000787452
0.224243,-0.453071,0.123581,-0.971065,0.238815,0,3.61113e-05
-0.58883,0.481797,1.90261,-0.985422,0.170125,0,1.30549e-05
0.461797,0.725751,0.380554,-0.46945,0.509894,-0.72085,1.57844e-05
-0.617429,0.894555,0.493496,-0.588876,0.337483,-0.734391,0.00104075
0.276555,-0.161798,1.81083,-0.77399,0.200413,-0.600645,0.000373867
0.028997,-0.0887377,0.858577,-0.225274,0.0211131,0.974067,0.0016596
-0.0214424,0.620836,1.82436,-0.140196,0.849485,0.508645,0.000901779
-0.897374,-0.0402272,1.27444,0.119919,0.984351,0.12912,9.98228e-05
-0.164611,0.864639,0.127432,0.436977,0.899473,0,2.98773e-06
-0.784481,0.154811,0.610989,0.20198,0.96739,-0.15284,0.000309586
0.80502,0.656559,0.571858,0.533048,0.843183,0.0700154,0.000537621
0.337228,0.535912,0.377387,-0.231281,0.178299,0.956409,1.76936e-05
0.309394,-0.330826,2.11275,-0.657331,0.753602,0,8.69398e-06
-0.582773,0.430741,2.12166,-0.966523,0.256579,0,1.18288e-05
0.634592,0.0261417,2.98501,0.097144,0.99527,0,4.71032e-07
0.0310752,0.0939985,2.33148,0.596214,0.802826,0,7.00889e-06
0.462472,0.641594,2.91017,0.915229,0.402935,0,6.63657e-06
0.60633,0.113813,0.652702,0.362065,0.65848,0.659783,0.000333392
-0.829142,-0.262428,1.25644,0.997223,0.0744748,0,1.14302e-05
-0.272582,-0.107249,2.90362,0.843236,0.537544,0,7.40009e-06
-0.610975,0.937313,2.00841,-0.269768,0.600695,-0.75259,3.66518e-05
0.801187,0.262564,1.08623,-0.365819,0.740201,0.564162,0.00369452
0.351602,0.525712,0.317024,-0.757454,0.583937,-0.29203,0.00351004
0.760599,0.286575,1.02795,-0.249958,0.505767,-0.825664,4.99005e-06
0.227506,-0.173317,2.99961,0.503483,0.848696,0.161926,2.82209e-06
0.0392864,-0.0799974,0.860767,-0.225274,0.0211131,0.974067,0.00167742
-0.722089,0.381935,1.93034,0.648615,0.761116,0,6.6617e-06
-0.715692,0.485404,0.880029,-0.0555028,0.599786,0.798233,4.95377e-06
0.918179,0.703753,2.30243,-0.502213,0.864744,0,1.21152e-05
0.250456,-0.4038,0.115093,0.235864,0.959069,-0.156699,1.21018e-05
0.680731,-0.14471,2.48764,-0.534686,0.808273,0.246588,0.00078357
-0.103407,0.682246,2.06943,-0.643092,0.765789,0,1.16249e-05
0.557246,0.0228994,2.74562,0.395093,0.389683,-0.831895,1.22328e-05
-0.742387,-0.0691899,1.16315,0.786653,0.617396,0,1.30013e-05
-0.187402,0.861973,0.175551,-0.330607,0.160614,0.930001,1.09722e-05
0.687713,-0.147275,2.94059,0.994393,0.0504279,0.0929523,0.000732439
0.131033,-0.984365,2.08903,0.0281369,0.0386329,-0.998857,9.61003e-06
-0.61118,0.839872,0.463356,-0.588876,0.337483,-0.734391,0.00106629
0.410867,0.992995,1.77298,0.115328,0.123701,0.985595,1.37312e-05
-0.934524,0.66795,2.77072,0.830207,0.557455,0,5.55503e-06
-0.971965,-0.282999,0.251913,0.872211,0.488992,-0.0116016,0.0015431
0.20957,0.450501,1.60494,0.410005,0.840916,-0.353209,0.000978899
-0.592247,0.926632,1.07554,0.652161,0.216644,0.726465,0.000519014
-0.166553,0.865582,0.13306,0.436977,0.899473,0,2.97991e-06
0.146353,-1.00825,2.36196,-0.882498,0.3866,0.267839,0.00113592
0.708688,-0.923848,2.18435,0.824128,0.424635,-0.37483,0.00210556
0.345094,-0.37715,2.10142,0.710887,0.620072,-0.331889,0.00135296
-0.135736,0.668856,1.91248,0.67144,0.741059,0,6.7515e-06
0.181916,-0.785123,1.14346,-0.165587,0.842949,0.511877,0.00037169
0.389097,0.299629,1.84655,0.294564,0.283314,0.912669,0.000830909
0.239598,-0.180491,2.99961,0.503483,0.848696,0.161926,2.83782e-06
-0.63081,0.976028,2.41301,0.00313306,0.999995,0,3.10212e-06
-0.350027,-0.650242,1.37147,-0.0375183,0.999296,0,3.15348e-06
0.741356,-0.454532,0.440993,0.747533,0.571389,0.338688,4.67497e-05
-0.534819,0.530828,1.9686,0.128942,0.746875,-0.652344,0.000394613
0.475199,0.679935,0.426185,-0.488252,0.530316,0.693091,0.00338941
0.755415,-0.0492698,2.73358,0.271115,0.340603,0.90027,0.00121828
-0.667086,0.336232,0.59051,-0.126598,0.849089,0.512855,0.000637825
-0.609001,0.932189,2.00361,-0.269768,0.600695,-0.75259,3.68117e-05
0.932092,0.56977,1.4297,-0.817408,0.576059,0,3.1323e-05
-0.238801,-0.587801,0.259716,-0.978668,0.20545,0,1.83374e-05
-0.839834,-0.0141681,2.18888,0.401356,0.90181,-0.160162,0.000535511
-0.541741,0.474441,1.90268,0.128942,0.746875,-0.652344,0.000543382
-0.794263,0.478272,0.879925,-0.0555028,0.599786,0.798233,6.18324e-06
1.00947,0.394301,1.97398,0.698467,0.715642,0,8.9378e-06
0.605437,0.174427,0.885744,-0.641282,0.767306,0,2.36854e-05
0.261859,-0.157852,1.83109,-0.77399,0.200413,-0.600645,0.000364423
0.569437,0.0107418,2.74571,0.395093,0.389683,-0.831895,1.23106e-05
-0.189325,1.0401,2.79471,-0.213425,0.976959,0,5.13972e-06
-0.753036,-0.362481,2.17424,-0.280026,0.745771,-0.604492,0.000227041
-0.721338,0.381295,1.93308,0.648615,0.761117,0,6.65787e-06
-0.274147,-0.104794,2.90606,0.843236,0.537544,0,7.38433e-06
0.724823,-0.460281,0.434116,0.269083,0.205678,-0.940899,0.00322627
-0.0388443,0.0458059,2.38327,0.893429,0.449205,0,1.06932e-05
0.457267,0.61488,2.43866,0.41286,0.910795,0,1.27341e-06
-0.60488,0.923026,1.99482,-0.269768,0.600695,-0.75259,3.71171e-05
0.91405,0.701355,2.29661,-0.502213,0.864744,0,1.21551e-05
-0.36358,-0.65075,1.3851,-0.0375183,0.999296,0,3.10028e-06
0.274112,-0.161136,1.8142,-0.77399,0.200413,-0.600645,0.000372274
-0.603636,0.920476,1.99234,-0.269768,0.600695,-0.75259,3.72055e-05
0.0362259,-0.11819,0.136728,-0.63207,0.312751,-0.708995,0.00202068
0.29383,0.844226,0.240365,-0.218749,0.394189,0.892616,1.63919e-05
0.250505,-0.403748,0.115484,0.235864,0.959069,-0.156699,1.21024e-05
0.0474993,-0.0729933,0.862515,-0.225274,0.0211131,0.974067,0.00169178
-0.0471539,0.825652,0.298143,-0.0777163,0.595662,0.799467,7.72494e-06
-0.658849,0.772896,1.67362,0.159014,0.0669365,0.985005,5.16174e-06
0.43446,0.0889107,2.46829,-0.199371,0.132559,-0.970917,0.000926275
0.215573,-0.166238,2.99961,0.503483,0.848696,0.161926,2.80658e-06
-0.0603229,0.823827,0.298223,-0.0777163,0.595662,0.799467,7.62285e-06
0.61022,0.121131,0.643264,0.362065,0.65848,0.659783,0.000336589
0.620706,0.027497,2.96635,0.097144,0.99527,0,4.74592e-07
0.218138,-0.477891,0.127897,-0.971065,0.238815,0,3.55943e-05
0.9197,-0.583047,1.5716,0.49578,0.517811,0.69719,1.24428e-06
-0.901741,0.0189479,2.22209,-0.913604,0.406605,0,7.16998e-06
0.818318,0.654183,0.487287,0.0374134,0.059181,-0.997546,1.24619e-05
0.442124,0.0838429,2.46602,-0.199371,0.132559,-0.970917,0.000932237
0.257692,-0.156974,1.83675,-0.77399,0.200413,-0.600645,0.000361818
0.616534,0.849406,0.78263,0.556557,0.65099,0.516194,4.00778e-05
0.720019,-0.918257,2.2156,0.824128,0.424635,-0.37483,0.00207297
-0.132536,0.958037,1.48662,-0.411077,0.9116,0,9.65293e-06
0.921918,0.690601,2.29693,0.668265,0.388105,-0.634663,0.0014182
-0.0465591,0.640976,1.99322,0.160796,0.135033,-0.977707,9.82032e-06
0.250485,-0.403745,0.115478,0.235864,0.959069,-0.156699,1.21021e-05
0.727784,0.0254599,1.0257,0.216824,0.481924,-0.848962,0.00306097
-0.59962,0.911886,1.98404,-0.269768,0.600695,-0.75259,3.74998e-05
0.719762,-0.918286,2.215,0.824128,0.424635,-0.37483,0.00207359
0.912583,-0.576235,1.5716,0.49578,0.517811,0.69719,1.23899e-06
-0.875124,0.676658,2.37311,0.326136,0.848379,0.416999,0.000112026
-0.0491653,0.826007,2.83474,0.243565,0.722099,0.647495,6.44913e-06
-0.842629,-0.939471,0.983794,0.0844868,0.952758,0.291745,2.85363e-06
0.176508,0.180048,2.84189,0.411265,0.00242376,-0.911512,1.46557e-05
-0.596518,0.925208,1.0798,0.652161,0.216644,0.726466,0.000516789
0.131022,-0.984327,2.08903,0.0281369,0.0386329,-0.998857,9.61005e-06
0.352299,-0.381506,2.10871,0.710887,0.620072,-0.331889,0.00135214
-0.39509,0.141443,1.65196,0.757395,0.645575,0.0979051,0.00078982
-0.255208,-0.669668,1.14107,0.11434,0.972471,-0.203043,0.000645536
-0.667137,0.336469,0.590104,-0.126598,0.849089,0.512855,0.000637823
0.225661,-0.447302,0.122577,-0.971065,0.238815,0,3.62312e-05
-0.69683,0.997028,2.66489,-0.17391,0.984762,0,4.1303e-06
-0.900492,0.0217532,2.24101,-0.913604,0.406605,0,7.119e-06
0.0032561,1.00502,2.29689,-0.0759621,0.997111,0,5.74373e-06
-0.63111,0.934634,2.41257,-0.941724,0.00295049,0.336372,0.00113837
-0.25476,-0.665364,1.16194,0.11434,0.972471,-0.203043,0.000641172
0.686309,-0.147508,2.95573,0.994393,0.0504279,0.0929523,0.000723673
0.915999,0.702487,2.29935,-0.502213,0.864744,0,1.21364e-05
0.916837,-0.78166,2.22192,0.985516,0.169582,0,1.49374e-05
-0.742393,-0.0758368,1.13684,-0.600889,0.765619,-0.229695,0.000636675
0.971237,0.426018,1.91257,-0.453942,0.443048,-0.773075,8.21808e-06
0.131308,-0.984055,2.08905,0.0281369,0.0386329,-0.998857,9.61245e-06
-0.951018,-0.667971,2.62069,-0.789996,0.609477,0.0666668,0.00061137
-0.80036,-0.943219,0.983794,0.0844868,0.952758,0.291745,2.94822e-06
-0.586519,0.495183,1.9184,-0.985423,0.170125,0,1.2964e-05
-0.901103,0.424724,1.89305,0.0488664,0.0187389,0.99863,6.0347e-06
0.866168,0.974958,0.0886643,-0.290581,0.346919,0.891745,2.71198e-05
0.44389,0.32927,1.81967,0.294564,0.283314,0.912669,0.000881553
