node_index,aabb_min_x,aabb_min_y,aabb_min_z,aabb_max_x,aabb_max_y,aabb_max_z,n_subtree_primitives,n_leaf_primitives,node_type,valid,surface_area,center_of_mass_x,center_of_mass_y,center_of_mass_z,importance,importance_gt
0,-1.02537,-0.948463,-0.0317177,1.00305,0.98443,3.04163,600,0,interior,1,1.02,0.0589905,0.16785,1.49892,0.137865,3.66619e-10
1,-0.996369,-0.764359,-0.0317177,0.936143,0.98443,1.67798,300,0,interior,1,0.51,0.0673031,0.200773,0.632581,0.0651475,2.02972e-11
2,-0.996369,-0.764359,0.00829044,0.231436,0.971115,1.67343,150,0,interior,1,0.2451,-0.413175,0.284448,0.681063,0.0454034,2.96801e-11
3,-0.996369,-0.764359,0.00829044,0.231279,0.497378,1.61233,75,0,interior,1,0.12255,-0.336081,-0.226665,0.576474,0.0412714,0
4,-0.996369,-0.665579,0.00829044,0.162196,0.497378,0.743436,37,0,interior,1,0.06125,-0.509456,-0.10824,0.136615,0.00794185,0
5,-0.461435,-0.665579,0.0654795,0.162196,-0.123767,0.743436,18,0,interior,1,0.02565,-0.229303,-0.517344,0.236434,0.0126986,6.24243e-18
6,-0.461435,-0.665579,0.0654795,-0.12607,-0.123767,0.300514,9,0,interior,1,0.0153,-0.258051,-0.460631,0.207451,0.00994143,1.24491e-14
7,-0.255411,-0.665579,0.244004,-0.12607,-0.540368,0.300514,4,4,leaf,1,0.0101,-0.190742,-0.603203,0.271847,0.0164747,0
8,-0.461435,-0.596672,0.0654795,-0.172455,-0.123767,0.244835,5,0,interior,1,0.0052,-0.388786,-0.183713,0.082375,0.000386006,1.18151e-14
9,-0.255722,-0.596672,0.244004,-0.172455,-0.540368,0.244835,2,2,leaf,1,0.000100002,-0.214089,-0.56852,0.244419,0.00794212,0
10,-0.461435,-0.217598,0.0654795,-0.339718,-0.123767,0.104439,3,3,leaf,1,0.0051,-0.392211,-0.176168,0.0791976,0.000151646,1.24887e-14
11,-0.255722,-0.665579,0.244004,0.162196,-0.42537,0.743436,9,0,interior,1,0.01035,-0.186807,-0.60118,0.279279,0.0174952,1.73146e-17
12,-0.255722,-0.665117,0.244004,-0.12607,-0.540368,0.300514,4,4,leaf,1,0.0101,-0.191051,-0.602745,0.272672,0.0165377,0
