px,py,pz,nx,ny,nz
0.0560164,-0.0936813,2.75128,0.491681,0.85641,0.157517
0.886998,0.975362,0.065099,0.767697,0.640814,0
-0.102868,0.258397,2.97912,0.924275,0.381728,0
0.614923,0.163235,0.875965,-0.773956,0.0881898,-0.627068
-0.107979,0.270771,3.02915,0.924275,0.381728,0
0.183513,0.499756,1.64929,-0.474193,0.880421,0
0.800463,-0.589706,0.396565,0.789979,0.117168,-0.601834
-0.224419,0.783165,0.111544,-0.489406,0.0672521,0.869459
0.675059,-0.172421,2.51453,0.627139,0.397276,-0.669976
0.916247,-0.090054,2.31205,0.49332,0.869821,0.00685644
-0.553343,0.725544,0.182094,-0.651404,0.756706,0.0553993
0.82621,-0.525141,1.87984,0.932395,0.36144,0
0.192527,0.683883,0.426832,-0.079657,0.555963,-0.827382
0.599275,-0.139271,2.46424,-0.535137,0.844765,0
-0.184904,0.830042,0.130161,-0.489406,0.0672521,0.869459
0.614298,-0.034948,0.681891,0.392396,0.714423,-0.579332
-0.762967,0.400981,1.96244,-0.715134,0.698988,0
-0.553668,0.726354,0.167207,-0.651404,0.756706,0.0553993
0.782858,-0.513234,0.388343,0.789979,0.117168,-0.601834
0.293989,-0.493876,0.167922,0.930883,0.0582993,-0.360637
-0.310493,0.102017,1.00351,-0.8824,0.131459,-0.451762
-0.0101791,0.778169,2.79147,-0.484359,0.03399,-0.874209
0.565572,-0.50743,0.115456,0.844933,0.0569254,-0.531834
-0.331737,-0.12057,2.91043,0.2659,0.726084,-0.634113
-0.699951,0.943701,2.61981,0.00943253,0.0115855,-0.999888
-0.412939,-0.201763,0.0824851,-0.356875,0.131527,-0.924846
0.824654,-0.521127,1.90094,0.932395,0.36144,0
0.671646,-0.175036,2.50978,0.627139,0.397276,-0.669976
0.682194,-0.169296,2.52306,0.627139,0.397276,-0.669976
0.899619,0.589126,0.0323335,0.455263,0.648766,0.609785
0.829348,-0.533234,1.8413,0.932395,0.36144,0
0.829112,-0.532626,1.84433,0.932395,0.36144,0
0.825519,-0.523357,1.88922,0.932395,0.36144,0
0.18418,-0.402521,2.03769,-0.666508,0.0212923,0.745194
-0.835941,0.275767,2.77942,-0.911952,0.410298,0
0.437533,0.0521482,0.9526,-0.881272,0.416224,-0.223867
0.593828,-0.552838,0.155486,0.844933,0.0569254,-0.531834
-0.600362,0.71993,1.66033,0.286934,0.935873,-0.204478
0.895351,0.59888,0.0251418,0.455263,0.648766,0.609785
0.887747,-0.752547,2.14034,0.00400535,0.363943,-0.931413
-0.179712,0.650239,1.88237,0.88179,0.424423,-0.205698
0.689463,0.967489,2.9209,0.0178701,0.996692,-0.0792892
0.495871,0.0713487,2.82493,-0.376293,0.926501,0
0.00906183,0.776521,2.78075,-0.484359,0.03399,-0.874209
0.824549,-0.520855,1.90236,0.932395,0.36144,0
0.23076,0.444336,1.60935,0.826348,0.445069,0.345053
-0.0254634,0.780202,2.80002,-0.484359,0.03399,-0.874209
0.235019,-0.334277,1.18743,-0.090955,0.558557,0.824464
0.0390573,0.0985585,2.3928,0.258332,0.966056,0
-0.86007,0.735755,0.206469,0.186342,0.0999198,-0.977391
0.886739,0.618437,0.0107655,0.455263,0.648766,0.609785
-0.844764,0.256155,2.76662,-0.911952,0.410298,0
0.236483,-0.30713,1.16826,0.987,0.160722,0
-0.645171,0.724213,1.61706,0.286934,0.935873,-0.204478
-0.699702,0.943691,2.61981,0.00943253,0.0115855,-0.999888
0.854406,-0.055225,2.24408,-0.869841,0.493332,0
-0.560014,0.891101,1.0885,-0.210195,0.477937,-0.852874
-0.359563,-0.12654,2.89192,0.2659,0.726084,-0.634113
0.0114366,0.105945,2.362,0.258332,0.966056,0
-0.154336,0.502641,2.13347,-0.837393,0.421948,-0.347467
-0.431366,-0.195065,0.0905483,-0.356875,0.131527,-0.924846
-0.375744,-0.71695,1.3664,-0.414866,0.383222,-0.825244
-0.196915,0.779308,0.127324,-0.489406,0.0672521,0.869459
0.434855,0.0399454,0.940451,-0.881272,0.416224,-0.223867
0.581289,-0.532784,0.137711,0.844933,0.0569254,-0.531834
-0.943725,0.607132,2.7001,-0.516414,0.585415,-0.624985
-0.194062,0.461635,2.18024,-0.3103,0.156355,0.937692
-0.699663,0.943773,2.61981,0.00943252,0.0115855,-0.999888
-0.190283,0.825475,0.127486,-0.489406,0.0672521,0.869459
-0.360018,-0.126815,2.89203,-0.939015,0.343877,0
0.422508,-0.219909,0.366809,-0.559253,0.520102,-0.645547
-0.954503,0.467756,1.88279,-0.479759,0.369456,0.795822
0.185642,-0.40227,2.03899,-0.666508,0.0212923,0.745194
-0.559068,0.888879,1.08702,-0.210195,0.477937,-0.852874
-0.344849,-0.745744,1.3375,-0.414866,0.383222,-0.825244
0.916208,-0.0901113,2.32214,0.49332,0.869821,0.00685644
-0.114215,0.891068,1.48431,-0.492426,0.461847,-0.737709
-0.561539,0.894345,1.0907,-0.210195,0.477937,-0.852874
-0.183408,0.48328,2.18016,-0.3103,0.156355,0.937692
0.220766,-0.325864,1.18015,-0.090955,0.558557,0.824464
-0.152523,0.858443,0.146191,-0.489406,0.0672521,0.869459
-0.781657,0.665914,2.36679,0.992243,0.124316,0
-0.182849,0.649341,1.86707,0.88179,0.424423,-0.205698
0.0559022,-0.0940244,2.7535,0.491681,0.85641,0.157517
-0.964917,0.630044,2.73907,-0.516414,0.585415,-0.624985
-0.155388,-0.567608,0.266487,-0.310926,0.461897,0.830648
-0.778651,0.64192,2.38788,0.992243,0.124316,0
0.877811,0.639218,-0.00467889,0.455263,0.648766,0.609785
-0.359468,-0.732475,1.35101,-0.414866,0.383222,-0.825244
0.530202,-0.0054124,2.73755,0.92627,0.3762,0.0223081
-0.699807,0.94362,2.61981,0.00943252,0.0115855,-0.999888
-0.149787,0.514424,2.13729,0.449986,0.893036,0
0.595271,-0.55541,0.157503,0.844933,0.0569254,-0.531834
-0.203796,0.813652,0.120794,-0.489406,0.0672521,0.869459
0.192864,0.504793,1.61948,-0.474193,0.880421,0
0.432103,0.0279635,0.929008,-0.881272,0.416224,-0.223867
-0.884439,0.461132,1.80402,-0.630527,0.48556,-0.60553
0.64283,0.104557,0.833269,-0.773956,0.0881898,-0.627068
-0.13013,-0.605612,0.297074,-0.310926,0.461897,0.830648
-0.552772,0.725041,0.195682,-0.651404,0.756706,0.0553993
-0.840845,0.264867,2.77231,-0.911952,0.410298,0
-0.192035,0.465759,2.18022,-0.3103,0.156355,0.937692
-0.110624,0.923538,1.50224,-0.492426,0.461847,-0.737709
0.188923,0.50267,1.63204,-0.474193,0.880421,0
0.911572,-0.211416,1.67045,-0.0402573,0.999189,0
-0.849732,0.741433,0.209021,0.186342,0.0999198,-0.977391
-0.157129,0.239042,2.98923,-0.367749,0.890428,-0.26814
0.163215,-0.401458,2.0189,-0.666508,0.0212923,0.745194
0.00112966,0.827031,2.78767,0.070003,0.997547,0
0.641363,0.107606,0.835508,-0.773956,0.0881898,-0.627068
0.620693,0.171131,0.871108,0.113214,0.993571,0
0.000779223,0.778057,2.7854,-0.484359,0.03399,-0.874209
-0.572751,0.919802,1.10773,-0.210195,0.477937,-0.852874
0.495823,0.071329,2.82931,-0.376293,0.926501,0
-0.00125104,0.778334,2.78653,-0.484359,0.03399,-0.874209
-0.7361,0.973216,2.67321,0.631299,0.775396,0.0149398
0.611953,0.172126,0.882033,0.113214,0.993571,0
0.495827,0.0713308,2.82912,-0.376293,0.926501,0
-0.639495,0.723617,1.62229,0.286934,0.935873,-0.204478
0.495809,0.0713234,2.83039,-0.376293,0.926501,0
-0.113257,0.900515,1.48959,-0.492426,0.461847,-0.737709
-0.647608,0.724435,1.61466,0.286934,0.935873,-0.204478
0.829264,-0.533019,1.84238,0.932395,0.36144,0
-0.688221,0.730879,1.58716,0.286934,0.935873,-0.204478
-0.552269,0.724564,0.208102,-0.651404,0.756706,0.0553993
0.434599,0.0388537,0.939429,-0.881272,0.416224,-0.223867
0.897406,0.962894,0.0292448,0.767697,0.640814,0
-0.385031,-0.708802,1.37485,-0.414866,0.383222,-0.825244
0.419569,-0.217154,0.371575,-0.559253,0.520102,-0.645547
-0.572879,0.919869,1.10779,-0.210195,0.477937,-0.852874
0.902151,-0.211795,1.70036,-0.0402573,0.999189,0
0.704421,-0.92632,2.14141,-0.147475,0.976785,0.155376
-0.278489,0.0973248,0.939629,-0.8824,0.131459,-0.451762
-0.703512,0.945858,2.71608,0.631299,0.775396,0.0149398
-0.728605,0.966925,2.68302,0.631299,0.775396,0.0149398
-0.159338,0.243613,3.00744,-0.367749,0.890428,-0.26814
-0.652406,0.724914,1.61011,0.286934,0.935873,-0.204478
0.68273,0.96709,2.91436,0.0178701,0.996691,-0.0792892
0.228458,0.723556,0.450031,-0.079657,0.555963,-0.827382
-0.345385,-0.745324,1.33796,-0.414866,0.383222,-0.825244
-0.759072,0.307587,1.92318,0.361973,0.370334,-0.855469
0.606375,-0.134773,2.47355,-0.535137,0.844765,0
0.495857,0.0713429,2.82663,-0.376293,0.926501,0
-0.791824,0.371457,1.93801,-0.715134,0.698988,0
-0.0251644,0.779184,2.79981,-0.484359,0.03399,-0.874209
0.907096,-0.211596,1.68466,-0.0402573,0.999189,0
0.53226,-0.0110415,2.74706,0.92627,0.3762,0.0223081
-0.944655,0.60687,2.70062,-0.516414,0.585415,-0.624985
0.229469,0.442926,1.61426,0.826348,0.445069,0.345053
-0.146412,-0.581233,0.277423,-0.310926,0.461897,0.830648
0.235772,-0.302767,1.16523,0.987,0.160722,0
0.0554927,-0.0934919,2.75188,0.491681,0.85641,0.157517
0.274494,-0.448725,0.124898,0.930883,0.0582993,-0.360637
-0.157915,0.240392,2.99479,-0.367749,0.890428,-0.26814
-0.968412,0.449697,1.88279,-0.479759,0.369456,0.795823
-0.277736,0.0970096,0.938066,-0.8824,0.131459,-0.451762
0.868859,-0.751833,2.14054,0.00400535,0.363943,-0.931413
0.893508,-0.752551,2.14036,0.00400535,0.363943,-0.931413
0.905857,-0.211646,1.68859,-0.0402573,0.999189,0
0.13155,-0.351652,1.98851,0.0319298,0.99949,0
-0.95623,0.62056,2.72301,-0.516414,0.585415,-0.624985
-0.964445,0.62992,2.73857,-0.516414,0.585415,-0.624985
-0.730125,0.337575,1.94841,0.361973,0.370334,-0.855469
0.0402588,0.0982372,2.39414,0.258332,0.966056,0
-0.177692,0.651429,1.89349,0.88179,0.424423,-0.205698
0.622506,-0.0196869,0.70627,0.392396,0.714423,-0.579332
-0.285182,0.0981699,0.952947,-0.8824,0.131459,-0.451762
-0.406705,-0.136705,0.0893318,-0.356875,0.131527,-0.924846
0.909344,-0.211506,1.67753,-0.0402573,0.999189,0
0.907717,-0.23735,1.68846,0.949887,0.0382709,0.310242
0.687655,0.96727,2.91773,0.0178701,0.996692,-0.0792892
0.634207,0.122885,0.846489,-0.773956,0.0881898,-0.627068
0.705095,-0.928707,2.15705,-0.147475,0.976785,0.155376
0.532929,-0.0126865,2.74702,0.92627,0.3762,0.0223081
0.264143,-0.424924,0.102028,0.930883,0.0582993,-0.360637
0.236543,-0.307499,1.16852,0.987,0.160722,0
0.410336,-0.208832,0.386278,-0.559253,0.520102,-0.645547
0.894697,-0.752559,2.14036,0.00400535,0.363943,-0.931413
-0.108069,0.270989,3.03004,0.924275,0.381728,0
-0.128032,-0.608385,0.299401,-0.310926,0.461897,0.830648
0.916726,-0.0904102,2.32276,0.49332,0.869821,0.00685644
0.619177,-0.541289,0.198592,0.530631,0.03575,0.846848
0.868967,-0.751816,2.14054,0.00400535,0.363943,-0.931413
-0.155425,0.517265,2.15487,0.449985,0.893036,0
0.75393,-0.544779,1.91845,-0.0758361,0.195632,0.977741
0.92879,0.411899,1.9786,-0.364992,0.931011,0
-0.760344,0.306538,1.92219,0.361973,0.370334,-0.855469
-0.114138,0.891708,1.48466,-0.492426,0.461847,-0.737709
-0.386279,-0.707786,1.37595,-0.414866,0.383222,-0.825244
-0.69961,0.943465,2.61981,0.00943253,0.0115855,-0.999888
