Technique,MSE,RMSE,Bias,Variance,MAE,KL_Divergence
additionalvertex_scene_nonee_1001.exr,0.0016106827,0.040133312,-0.00082107174,0.0016100085,0.014404249,0.015718352330144365
additionalvertex_scene_nonee_1011.exr,0.003264321,0.057134237,-0.0007246419,0.003263796,0.015541989,0.022958382638582384
additionalvertex_scene_nonee_1000.exr,0.012389526,0.11130825,-0.0007600955,0.012388948,0.016004214,0.029958980432664043
additionalvertex_scene_nonee_0001.exr,0.0037051656,0.06087007,-0.0010110765,0.0037041432,0.016856443,0.033997891622497604
additionalvertex_scene_nonee_1010.exr,0.002055336,0.045335814,-0.00084953586,0.0020546142,0.016740674,0.03792255867416613
additionalvertex_scene_nonee_0011.exr,0.002784421,0.052767612,-0.0009383005,0.0027835406,0.017930517,0.04536913205009014
additionalvertex_scene_nonee_0000.exr,0.0019080389,0.043681104,-0.0013482491,0.001906221,0.018538019,0.05668271536703086
additionalvertex_scene_nonee_1101.exr,0.0061715017,0.07855891,-0.00048347443,0.006171268,0.019744193,0.06206074102768389
additionalvertex_scene_nonee_1111.exr,0.004102754,0.064052746,-0.0004896372,0.004102514,0.0198878,0.06441214391204704
additionalvertex_scene_nonee_off.exr,0.002350508,0.048482038,-0.00049006304,0.002350268,0.02028251,0.06753994496451875
additionalvertex_scene_nonee_0010.exr,0.07387472,0.27179903,-0.0004023678,0.073874556,0.020513626,0.07042976150770917
additionalvertex_scene_nonee_0111.exr,0.0015998342,0.039997928,-0.001040332,0.0015987519,0.020770725,0.07948090998202373
additionalvertex_scene_nonee_1110.exr,0.019362014,0.13914746,-0.00036350146,0.019361882,0.021471428,0.08627002110942948
additionalvertex_scene_nonee_0101.exr,0.004597647,0.06780595,-0.0008982147,0.00459684,0.022025527,0.09563361797911521
additionalvertex_scene_nonee_1100.exr,0.00620056,0.07874364,-0.0008540159,0.0061998307,0.021918839,0.09906637181398709
additionalvertex_scene_nonee_0110.exr,0.03801654,0.1949783,-0.0005343628,0.038016252,0.023886465,0.12178062283758397
additionalvertex_scene_nonee_0100.exr,0.0029771617,0.054563373,-0.0010208072,0.0029761195,0.02551443,0.1585703091572539
