px,py,pz,nx,ny,nz
0.451163,0.617647,2.42651,0.41286,0.910795,0
0.91807,0.70369,2.30227,-0.502213,0.864744,0
-0.170343,0.867424,0.144039,0.436977,0.899473,0
-0.704298,0.200218,2.86891,-0.528028,0.849227,0
0.230309,-0.17498,2.99961,0.503483,0.848696,0.161926
-0.0214424,0.620836,1.82436,-0.140196,0.849485,0.508645
-0.897374,-0.0402272,1.27444,0.119919,0.984351,0.12912
-0.164611,0.864639,0.127432,0.436977,0.899473,0
-0.784481,0.154811,0.610989,0.20198,0.96739,-0.15284
0.80502,0.656559,0.571858,0.533048,0.843183,0.0700154
0.634592,0.0261417,2.98501,0.097144,0.99527,0
0.0310752,0.0939985,2.33148,0.596214,0.802826,0
0.227506,-0.173317,2.99961,0.503483,0.848696,0.161926
0.918179,0.703753,2.30243,-0.502213,0.864744,0
0.250456,-0.4038,0.115093,0.235864,0.959069,-0.156699
0.680731,-0.14471,2.48764,-0.534686,0.808273,0.246588
0.20957,0.450501,1.60494,0.410005,0.840916,-0.353209
-0.166553,0.865582,0.13306,0.436977,0.899473,0
0.181916,-0.785123,1.14346,-0.165587,0.842949,0.511877
0.239598,-0.180491,2.99961,0.503483,0.848696,0.161926
-0.63081,0.976028,2.41301,0.00313306,0.999995,0
-0.350027,-0.650242,1.37147,-0.0375183,0.999296,0
-0.667086,0.336232,0.59051,-0.126598,0.849089,0.512855
-0.839834,-0.0141681,2.18888,0.401356,0.90181,-0.160162
-0.189325,1.0401,2.79471,-0.213425,0.976959,0
0.457267,0.61488,2.43866,0.41286,0.910795,0
0.91405,0.701355,2.29661,-0.502213,0.864744,0
-0.36358,-0.65075,1.3851,-0.0375183,0.999296,0
0.250505,-0.403748,0.115484,0.235864,0.959069,-0.156699
0.215573,-0.166238,2.99961,0.503483,0.848696,0.161926
0.620706,0.027497,2.96635,0.097144,0.99527,0
-0.132536,0.958037,1.48662,-0.411077,0.9116,0
0.250485,-0.403745,0.115478,0.235864,0.959069,-0.156699
-0.875124,0.676658,2.37311,0.326136,0.848379,0.416999
-0.842629,-0.939471,0.983794,0.0844868,0.952758,0.291745
-0.255208,-0.669668,1.14107,0.11434,0.972471,-0.203043
-0.667137,0.336469,0.590104,-0.126598,0.849089,0.512855
-0.69683,0.997028,2.66489,-0.17391,0.984762,0
0.0032561,1.00502,2.29689,-0.0759621,0.997111,0
-0.25476,-0.665364,1.16194,0.11434,0.972471,-0.203043
0.915999,0.702487,2.29935,-0.502213,0.864744,0
-0.80036,-0.943219,0.983794,0.0844868,0.952758,0.291745
0.93372,-0.0638277,2.2694,-0.400526,0.834409,-0.378603
0.892549,0.411735,2.43594,0.588061,0.808817,0
-0.14964,0.950324,1.51913,-0.411078,0.9116,0
0.938752,-0.0587022,2.27537,-0.400526,0.834409,-0.378603
0.77548,0.675691,1.96394,0.599423,0.800433,0
-0.622123,0.976001,2.43658,0.00313306,0.999995,0
0.650659,-0.155422,2.45755,-0.534686,0.808273,0.246588
0.62919,0.026669,2.97774,0.097144,0.99527,0
-0.619993,0.975994,2.44236,0.00313306,0.999995,0
-0.668616,0.347825,0.570938,-0.126598,0.849089,0.512855
0.900168,-0.214483,1.66093,-0.401606,0.915813,0
-0.343916,-0.650012,1.36532,-0.0375183,0.999296,0
0.918357,0.703857,2.30266,-0.502213,0.864744,0
-0.669484,0.352315,0.56329,-0.126598,0.849089,0.512855
0.919637,0.7046,2.30448,-0.502213,0.864744,0
