px,py,pz,nx,ny,nz
0.368437,-0.32072,0.980536,0.415428,-0.909626,0
-0.697887,0.213637,2.07326,-0.235429,-0.402296,-0.884721
-0.823027,-0.195291,0.0257543,0.187002,-0.982152,0.020178
-0.826719,-0.12371,1.19804,-0.786652,-0.617396,0
0.926033,-0.633306,1.54056,0.722306,-0.691574,0
0.662283,-0.00790344,0.715842,0.47715,-0.612359,0.630352
0.286744,0.813811,0.193784,-0.433121,0.780493,-0.450817
0.972888,0.00108342,2.27838,-0.589191,-0.397038,0.703715
-0.656766,0.735883,1.60008,0.90785,0.382156,-0.172528
0.0725262,-0.51509,2.33433,-0.799112,0.391115,0.456562
-0.394156,0.628942,0.641179,-0.718726,-0.0549709,-0.693117
0.451163,0.617647,2.42651,0.41286,0.910795,0
0.349533,-0.264222,0.432624,-0.614254,-0.789108,0
-0.734587,-0.410087,2.108,0.212493,-0.565913,-0.796611
-0.586954,0.492663,1.91542,-0.985423,0.170125,0
0.688755,-0.487894,0.417765,0.269083,0.205678,-0.940899
0.147549,-0.380592,2.00782,-0.881697,-0.450174,0.141259
-0.860897,-0.910456,2.59953,-0.403532,-0.914966,0
0.781193,-0.559895,0.376356,-0.757874,-0.224055,0.612721
-0.653301,0.753796,1.66379,-0.90785,-0.382156,0.172528
0.277202,0.834802,0.240452,-0.218748,0.394189,0.892616
0.200682,-0.60309,2.97106,0.0955267,0.447504,0.889165
0.622588,-0.0731619,2.9809,-0.097144,-0.99527,0
-0.13807,0.670971,1.89803,0.67144,0.741059,0
0.693009,-0.931585,2.14264,-0.333201,-0.171683,-0.927094
0.413633,-0.85539,1.07849,0.169153,-0.834537,-0.524343
0.305977,0.019118,0.48209,0.0251805,-0.327925,-0.944368
-0.195429,0.860679,1.7255,-0.279419,0.488319,0.826722
-0.194985,0.205805,3.01542,-0.989335,-0.145656,0
-0.0663847,0.0315685,2.38331,0.372304,-0.74048,0.559535
-0.744191,-0.0668923,1.17553,0.786652,0.617396,0
0.91807,0.70369,2.30227,-0.502213,0.864744,0
-0.157831,0.934717,1.54317,-0.45572,-0.205502,0.866076
-0.607876,0.929579,2.00112,-0.269768,0.600695,-0.75259
0.82749,0.648512,0.487295,0.0374134,0.0591811,-0.997546
0.459284,-0.830441,1.13544,0.0734488,0.0370821,-0.996609
0.369818,0.292378,1.8543,-0.657793,-0.632672,0.408699
-0.246157,-0.212597,1.65135,-0.213112,-0.587412,-0.780724
0.76634,-0.035125,2.72494,0.271115,0.340603,0.90027
-0.653235,0.191942,1.60452,0.976679,-0.169715,-0.131509
-0.170343,0.867424,0.144039,0.436977,0.899473,0
0.00965274,0.998655,2.2917,0.700941,0.0533992,-0.711218
0.0592725,0.732646,1.49573,-0.535854,0.444062,0.718101
0.726565,-0.458927,0.43491,0.269083,0.205678,-0.940899
-0.532829,0.528638,1.96802,-0.128942,-0.746875,0.652344
0.797517,-0.300436,0.715432,-0.648817,-0.0928001,0.755265
-0.325676,0.171792,1.00364,-0.75542,0.65524,0
-0.704298,0.200218,2.86891,-0.528028,0.849227,0
0.230309,-0.17498,2.99961,0.503483,0.848696,0.161926
-0.917355,0.464576,1.86633,0.932423,0.357558,-0.0523361
0.650234,0.195377,1.44214,0.465635,-0.467941,0.751143
0.224243,-0.453071,0.123581,-0.971065,0.238815,0
-0.58883,0.481797,1.90261,-0.985422,0.170125,0
0.9729,0.013621,2.28546,-0.589191,-0.397038,0.703715
0.461797,0.725751,0.380554,-0.46945,0.509894,-0.72085
0.901565,-0.658862,1.50615,0.722306,-0.691574,0
-0.617429,0.894555,0.493496,-0.588876,0.337483,-0.734391
0.276555,-0.161798,1.81083,-0.77399,0.200413,-0.600645
0.028997,-0.0887377,0.858577,-0.225274,0.0211131,0.974067
-0.0214424,0.620836,1.82436,-0.140196,0.849485,0.508645
-0.897374,-0.0402272,1.27444,0.119919,0.984351,0.12912
-0.164611,0.864639,0.127432,0.436977,0.899473,0
-0.44242,-0.189667,0.0635865,0.588653,-0.247885,-0.769442
0.82015,0.89941,0.0323976,-0.766608,-0.642115,0
0.89042,0.650812,0.00585431,0.644827,-0.696941,-0.313803
-0.784481,0.154811,0.610989,0.20198,0.96739,-0.15284
-0.801313,0.256092,2.79836,-0.337787,-0.882457,-0.327368
0.80502,0.656559,0.571858,0.533048,0.843183,0.0700154
